preferred_term,avoid,reason
"adjacent normal tissue","healthy control","GEO samples were adjacent non-tumor mucosa, not population healthy stomach"
"tumor-derived epithelial cells","malignant cells","no CNV inference or orthogonal malignant-cell labels were used"
"processed single-cell expression","raw single-cell counts","public file was processed log1p count-like expression"
"relative gastric-lineage score","cell fraction","Bisque marker-based PCA output is not an absolute proportion"
"composition-sensitive epithelial module with cohort-dependent within-epithelial effects","pure abundance signal; universal tumor-cell repression","two independent single-cell cohorts gave heterogeneous epithelial effects"
"candidate genes","validated biomarkers","diagnostic, prognostic and clinical utility were not evaluated"
"attenuation after adjustment","mediation","the analysis is observational and not a causal mediation model"
"descriptive fraction reproduced","percent causally explained","single-cell capture and compositional effects prevent exact causal attribution"
"locked 73-gene module","optimized signature","the list was defined in discovery and not reselected in validation"
"patient–sample pseudobulk","single-cell-level replicate","patients, not cells, are the independent units"
"no difference was detected","the groups are equivalent","a non-significant test does not establish equivalence"
"donor-level spatial concordance","spot-level replication","spots are nested within sections and donors"
"spatial localization","histological proof of causality","tumor-only spatial transcriptomics is orthogonal localization, not a paired causal decomposition or protein IHC"
